,Year,ID,HouseHoldID,communityID,birth_year,birth_month,birth_day,age,gender,province,city,urban_nbs
0,2011,34776330101,347763301,3477633,1939.0,2.0,0.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
1,2011,34776330201,347763302,3477633,1962.0,5.0,21.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
2,2011,34776330202,347763302,3477633,1957.0,6.0,23.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
3,2011,34776330301,347763303,3477633,1954.0,11.0,25.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
4,2011,34776330401,347763304,3477633,1949.0,3.0,24.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
5,2011,34776330501,347763305,3477633,1952.0,4.0,0.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
6,2011,34776330502,347763305,3477633,1944.0,7.0,12.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
7,2011,34776330601,347763306,3477633,1940.0,8.0,15.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
8,2011,34776330602,347763306,3477633,1941.0,1.0,8.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
9,2011,34776330701,347763307,3477633,1963.0,8.0,24.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
10,2011,34776330702,347763307,3477633,1962.0,2.0,19.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
11,2011,34776330801,347763308,3477633,1952.0,5.0,1.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
12,2011,34776330802,347763308,3477633,1963.0,12.0,16.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
13,2011,34776330901,347763309,3477633,1949.0,7.0,21.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
14,2011,34776331001,347763310,3477633,1940.0,7.0,12.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
15,2011,34776331002,347763310,3477633,1950.0,8.0,15.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
16,2011,34776331101,347763311,3477633,1962.0,11.0,25.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
17,2011,34776331201,347763312,3477633,1963.0,4.0,28.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
18,2011,34776331202,347763312,3477633,1958.0,1.0,2.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
19,2011,34523330101,345233301,3452333,1965.0,6.0,25.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
20,2011,34523330102,345233301,3452333,1962.0,9.0,8.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
21,2011,34523330201,345233302,3452333,1964.0,5.0,8.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
22,2011,34523330202,345233302,3452333,1965.0,4.0,30.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
23,2011,34523330301,345233303,3452333,1948.0,10.0,5.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
24,2011,34523330401,345233304,3452333,1932.0,2.0,11.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
25,2011,34523330501,345233305,3452333,1954.0,10.0,26.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
26,2011,34523330502,345233305,3452333,1955.0,10.0,19.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
27,2011,34523330601,345233306,3452333,1952.0,5.0,7.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
28,2011,34523330602,345233306,3452333,1952.0,4.0,17.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
29,2011,34523330701,345233307,3452333,1954.0,3.0,15.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
30,2011,34523330702,345233307,3452333,1952.0,5.0,11.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
31,2011,34523330801,345233308,3452333,1951.0,8.0,24.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
32,2011,34523330802,345233308,3452333,1952.0,2.0,10.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
33,2011,34523330901,345233309,3452333,1967.0,10.0,0.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
34,2011,34523330902,345233309,3452333,1965.0,10.0,22.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
35,2011,34523331001,345233310,3452333,1930.0,7.0,8.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
36,2011,34523331101,345233311,3452333,1937.0,9.0,30.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
37,2011,34523331102,345233311,3452333,1941.0,7.0,25.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
38,2011,34523331201,345233312,3452333,1971.0,10.0,8.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
39,2011,34523331202,345233312,3452333,1966.0,9.0,6.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
40,2011,34523331301,345233313,3452333,1942.0,12.0,9.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
41,2011,34523331401,345233314,3452333,1933.0,10.0,12.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
42,2011,34523331501,345233315,3452333,1954.0,8.0,1.0,,,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
43,2013,347763301001,3477633010,3477633,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
44,2013,347763302001,3477633020,3477633,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
45,2013,347763302002,3477633020,3477633,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
46,2013,347763305002,3477633050,3477633,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
47,2013,347763306001,3477633060,3477633,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
48,2013,347763306002,3477633060,3477633,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
49,2013,347763308001,3477633080,3477633,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
50,2013,347763310001,3477633100,3477633,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
51,2013,347763311001,3477633110,3477633,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
52,2013,347763311002,3477633110,3477633,1949.0,0.0,0.0,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
53,2013,347763313002,3477633130,3477633,1967.0,8.0,9.0,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
54,2013,347763314002,3477633140,3477633,1952.0,2.0,24.0,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
55,2013,345233301001,3452333010,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
56,2013,345233301002,3452333010,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
57,2013,345233302001,3452333020,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
58,2013,345233302002,3452333020,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
59,2013,345233303001,3452333030,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
60,2013,345233304001,3452333040,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
61,2013,345233305001,3452333050,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
62,2013,345233305002,3452333050,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
63,2013,345233306001,3452333060,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
64,2013,345233306002,3452333060,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
65,2013,345233307001,3452333070,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
66,2013,345233307002,3452333070,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
67,2013,345233308001,3452333080,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
68,2013,345233308002,3452333080,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
69,2013,345233310001,3452333100,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
70,2013,345233311001,3452333110,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
71,2013,345233311002,3452333110,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
72,2013,345233312002,3452333120,3452333,1964.0,10.0,15.0,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
73,2013,345233313001,3452333130,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
74,2013,345233316001,3452333160,3452333,1967.0,2.0,17.0,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
75,2013,345233317001,3452333170,3452333,1966.0,11.0,13.0,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
76,2013,345233318001,3452333180,3452333,1954.0,0.0,0.0,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
77,2013,345233318002,3452333180,3452333,1952.0,0.0,0.0,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
78,2013,345233319001,3452333190,3452333,1952.0,0.0,0.0,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
79,2013,345233320001,3452333200,3452333,1966.0,4.0,20.0,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
80,2013,345233321001,3452333210,3452333,1966.0,8.0,0.0,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
81,2013,345233321002,3452333210,3452333,1958.0,1.0,20.0,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
82,2013,345233322001,3452333220,3452333,1936.0,0.0,0.0,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
83,2013,345233322002,3452333220,3452333,1934.0,3.0,24.0,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
84,2013,345233323001,3452333230,3452333,1950.0,4.0,17.0,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
85,2015,347763302002,3477633020,3477633,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
86,2015,347763302001,3477633020,3477633,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
87,2015,347763304002,3477633040,3477633,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
88,2015,347763312001,3477633120,3477633,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
89,2015,347763312002,3477633120,3477633,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
90,2015,347763303001,3477633030,3477633,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
91,2015,347763305001,3477633050,3477633,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
92,2015,347763305002,3477633050,3477633,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
93,2015,347763317002,3477633170,3477633,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
94,2015,347763314002,3477633140,3477633,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
95,2015,347763314001,3477633140,3477633,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
96,2015,347763301001,3477633010,3477633,1939.0,2.0,7.0,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
97,2015,347763315001,3477633150,3477633,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
98,2015,347763315002,3477633150,3477633,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
99,2015,347763306002,3477633060,3477633,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
100,2015,347763306001,3477633060,3477633,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
101,2015,347763313002,3477633130,3477633,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
102,2015,347763313001,3477633130,3477633,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
103,2015,347763311001,3477633110,3477633,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
104,2015,347763307002,3477633070,3477633,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
105,2015,347763307001,3477633070,3477633,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
106,2015,345233305002,3452333050,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
107,2015,345233305001,3452333050,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
108,2015,345233317001,3452333170,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
109,2015,345233328001,3452333280,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
110,2015,345233328002,3452333280,3452333,1959.0,6.0,19.0,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
111,2015,345233301002,3452333010,3452333,1962.0,9.0,18.0,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
112,2015,345233301001,3452333010,3452333,1965.0,6.0,23.0,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
113,2015,345233311001,3452333110,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
114,2015,345233311002,3452333110,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
115,2015,345233308001,3452333080,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
116,2015,345233308002,3452333080,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
117,2015,345233325001,3452333250,3452333,1953.0,6.0,0.0,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
118,2015,345233309002,3452333090,3452333,1965.0,10.0,26.0,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
119,2015,345233309001,3452333090,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
120,2015,345233306001,3452333060,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
121,2015,345233306002,3452333060,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
122,2015,345233302002,3452333020,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
123,2015,345233302003,3452333020,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
124,2015,345233324002,3452333240,3452333,1974.0,8.0,25.0,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
125,2015,345233324001,3452333240,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
126,2015,345233307002,3452333070,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
127,2015,345233307001,3452333070,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
128,2015,345233320001,3452333200,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
129,2015,345233312002,3452333120,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
130,2015,345233316001,3452333160,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
131,2015,345233316002,3452333160,3452333,1967.0,6.0,27.0,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
132,2015,345233303001,3452333030,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
133,2015,345233304001,3452333040,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
134,2015,345233323001,3452333230,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
135,2015,345233326002,3452333260,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
136,2015,345233326001,3452333260,3452333,1969.0,3.0,15.0,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
137,2015,345233318002,3452333180,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
138,2015,345233318001,3452333180,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
139,2015,345233314001,3452333140,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
140,2015,345233313001,3452333130,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
141,2015,345233322002,3452333220,3452333,,,,,2 female,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
142,2015,345233322001,3452333220,3452333,,,,,1 male,¹óÖÝÊ¡,Ç­ÄÏ²¼ÒÀ×åÃç×å×ÔÖÎÖÝ,Urban
